Initial,Date,Course_ID,Time (M),Summary
RB,9/5/23,BIOL_115,50,Had a quiz and completed an in class activity
RB,9/5/23,DS_160,75,Completed an in class assignment
RB,9/5/23,MKTG_305,75,Lecture over Chapter 4
RB,9/5/23,BIOL_115Lab,60,Looked at cheek cells
RB,9/6/23,COMM_200,50,Lecture over Chapter 15
RB,9/6/23,FINA_315,75,Activity on Chapter 3
RB,9/6/23,FINA_315,60,Worked on group project
RB,9/6/23,DS_160,60,Podcast Summary 1
RB,9/7/23,BIOL_115,50,Lecture over Atoms
RB,9/7/23,DS_160,75,Working with Python
RB,9/7/23,MKTG_305,75,Lecture over Chapter 4
RB,9/8/23,COMM_200,35,Lecture over Chapter 15
RB,9/9/23,MKTG_305,30,"Assignment 1 Presentation, Quiz 2"
RB,9/9/23,COMM_200,10,Quiz 1
RB,9/10/23,MKTG_305,15,Presentation
RB,9/11/23,COMM_200,50,Lecture over Chapter 3
RB,9/11/23,BIOL_115Lab,15,Read over Lab handout 
RB,9/12/23,BIOL_115,50,Continue lecture over Atoms
RB,9/12/23,DS_160,75,Working with Pandas
RB,9/12/23,MKTG_305,75,Present 
RB,9/12/23,BIOL_115Lab,60,Look into plant slides
RB,9/13/23,COMM_200,50,Lecture over Chapter 3
RB,9/13/23,FINA_315,75,Lecture over Chapter 4
RB,9/13/23,FINA_315,30,Chapter 3 HW
RB,9/14/23,BIOL_115,50,In class assignment
RB,9/14/23,DS_160,75,Finish Pandas notebook
RB,9/14/23,MKTG_305,75,Lecture over Chapter 5
RB,9/15/23,COMM_200,50,Lecture over Chapter 3
RB,9/15/23,FINA_315,90,Chapter 3 HW
RB,9/15/23,MKTG_305,10,Chapter 2 Quiz
RB,9/18/23,COMM_200,50,Lecture over Chapter 5
RB,9/18/23,FINA_315,75,Completing balance sheet
RB,9/18/23,COMM_200,60,Autobiography paper
RB,9/19/23,BIOL_115,50,Quiz and Lecture
RB,9/19/23,DS_160,75,In class assignment
RB,9/19/23,MKTG_305,75,Lecture over Chapter 6
RB,9/19/23,BIOL_115Lab,60,Look at bacteria
RB,9/20/23,COMM_200,50,Lecture over Chapter 5
RB,9/20/23,FINA_315,75,Review for test
RB,9/20/23,DS_160,60,Assignment 1 
RB,9/21/23,BIOL_115,50,Lecture over Photosynthesis
RB,9/21/23,DS_160,75,Working with MatPlotLib
RB,9/21/23,MKTG_305,75,Lecture over Chapter 6
RB,9/24/23,FINA_315,240,Study for Finance test
RB,9/25/23,COMM_200,50,Finish Chapter 5 lecture
RB,9/25/23,FINA_315,20,Test
RB,9/25/23,FINA_315,60,Work on group project
RB,9/26/23,BIOL_115,50,In class assignment
RB,9/26/23,DS_160,75,Finish MatPlotLib
RB,9/26/23,MKTG_305,75,Lecture over Chapter 8
RB,9/26/23,BIOL_115Lab,60,Second part of bacteria lab
RB,9/27/23,COMM_200,50,Lecure over radio
RB,9/27/23,FINA_315,75,Lecture over Chapter 5
RB,9/27/23,BIOL_115,120,Study for Bio test
RB,9/28/23,BIOL_115,30,Bio test
RB,9/28/23,DS_160,75,Working with Seaborn
RB,9/28/23,MKTG_305,75,Lecture over Chapter 9
RB,9/29/23,COMM_200,50,Finish radio lecture
RB,9/29/23,DS_160,30,Assignment 3 hw
RB,10/2/23,COMM_200,50,Lecture
RB,10/2/23,FINA_315,75,Lecture over Chapter 5
RB,10/3/23,BIOL_115,50,Genetics lecture
RB,10/3/23,DS_160,75,Finish Seaborn and in class assignment
RB,10/3/23,MKTG_305,75,Review for Midterm
RB,10/3/23,BIOL_115Lab,60,Lab over condoms
